x, y, th, stamp, 
-1.4533736194705196, -8.858095912010308, -1.3934283385715676, 69258000000, 
-1.4533736202387015, -8.858095912587059, -1.3934283676616799, 69292000000, 
-1.453373619632383, -8.858095919473357, -1.3934284017294896, 69326000000, 
-1.453373617156454, -8.858095936414166, -1.393428432477429, 69360000000, 
-1.4533736133199784, -8.858095951221395, -1.3934284644604502, 69394000000, 
-1.4531699996013745, -8.859232452336439, -1.3934219998165729, 69428000000, 
-1.4527626219571577, -8.861506334194269, -1.3934038042897408, 69462000000, 
-1.4522241960952598, -8.864494148024443, -1.3905365842624433, 69496000000, 
-1.4515913551012007, -8.867881834508745, -1.3798467230523916, 69530000000, 
-1.4509165507865165, -8.871255941564286, -1.3663056126426452, 69564000000, 
-1.450200759878263, -8.874630134732055, -1.357161033752838, 69598000000, 
-1.4494485177823335, -8.878033013097873, -1.3485372761017116, 69632000000, 
-1.4486637945345409, -8.881424104595087, -1.337374848472712, 69666000000, 
-1.4478328736137396, -8.884839936385722, -1.326553786701777, 69700000000, 
-1.4469666826405652, -8.888249944172134, -1.31704216746437, 69734000000, 
-1.4460591064303883, -8.891683840932311, -1.3070200616667818, 69768000000, 
-1.4451162619385012, -8.89510739567819, -1.2964065599572896, 69802000000, 
-1.44413745581084, -8.898521984396313, -1.2862206972216719, 69836000000, 
-1.4431145850633476, -8.901959929740359, -1.2762528139659721, 69870000000, 
-1.442057207220921, -8.90538724454115, -1.2659967282256281, 69904000000, 
-1.440954233851183, -8.908836073017786, -1.2556922316190122, 69938000000, 
-1.4398161614270228, -8.91227353888805, -1.2455577897912091, 69972000000, 
-1.4386434203647895, -8.915699256858334, -1.2354078886756779, 70006000000, 
-1.437424850434263, -8.919144095251756, -1.2251669634192313, 70040000000, 
-1.4361715468071448, -8.922575388291767, -1.2149578452315057, 70074000000, 
-1.434871360018836, -8.92602535837253, -1.2047913284709673, 70108000000, 
-1.4335364732744882, -8.929461126412921, -1.1945959990313435, 70142000000, 
-1.432166880386406, -8.932882399839203, -1.18438417710724, 70176000000, 
-1.4307496825001205, -8.936320479328614, -1.1741917291363753, 70210000000, 
-1.429297304154721, -8.939744073700197, -1.164003893630767, 70244000000, 
-1.4277964940431636, -8.943183752322687, -1.1538048522770143, 70278000000, 
-1.4262604350298722, -8.946608205655785, -1.1436082900496927, 70312000000, 
-1.4246751303740988, -8.950048152474727, -1.1334181324822907, 70346000000, 
-1.4230546385110998, -8.953472210660314, -1.1232196997296031, 70380000000, 
-1.4213991182344285, -8.956879898053979, -1.1130175415160997, 70414000000, 
-1.4196935933299875, -8.960301259841689, -1.1028209894269858, 70448000000, 
-1.4179530819370423, -8.963705477040559, -1.0926253431230213, 70482000000, 
-1.4161620182664785, -8.96712221121202, -1.0824265688652028, 70516000000, 
-1.4143360233961626, -8.970520947566717, -1.072228272314005, 70550000000, 
-1.4124753396496756, -8.973901236191226, -1.0620332936784318, 70584000000, 
-1.410563627398543, -8.977292064623438, -1.0518394072456716, 70618000000, 
-1.408617568858103, -8.98066315111353, -1.0416437294223369, 70652000000, 
-1.4066200680858965, -8.984043222907184, -1.0314475845377116, 70686000000, 
-1.4045886806211945, -8.987402307992602, -1.0212529246301982, 70720000000, 
-1.4025232810315627, -8.990740094585924, -1.011056768866502, 70754000000, 
-1.4004061829636074, -8.99408480694876, -1.0008597732120166, 70788000000, 
-1.3982554985887194, -8.997407363719306, -0.9906612824961546, 70822000000, 
-1.396070823980027, -9.000707517744965, -0.9804627073823903, 70856000000, 
-1.393834061463249, -9.004013142355614, -0.9702630535895214, 70890000000, 
-1.391563424845655, -9.007295802263563, -0.9600636837798836, 70924000000, 
-1.3892396514449694, -9.01058297256273, -0.9498643825947735, 70958000000, 
-1.3868822226158064, -9.013846599506962, -0.9396669617310744, 70992000000, 
-1.3844712021698211, -9.01711365317604, -0.9294706967595356, 71026000000, 
-1.3820266914345494, -9.020356351042903, -0.9192743754514325, 71060000000, 
-1.3795282615740605, -9.023601218933196, -0.9090779403269088, 71094000000, 
-1.376996578378362, -9.026820810472051, -0.8988824529681632, 71128000000, 
-1.3744320501204603, -9.030014639209844, -0.8886882247997849, 71162000000, 
-1.3718136746088592, -9.033208490892822, -0.8784927348454181, 71196000000, 
-1.3691626841523115, -9.0363754539799, -0.8682964341174575, 71230000000, 
-1.3664577620463785, -9.039540893579382, -0.8581008628461376, 71264000000, 
