acc_x, acc_y, angular_z, stamp, 
-0.04639725249662412, -0.0010575906668703122, -0.00037861263086048425, 2356983000000, 
-0.04887039069651394, -0.020164889754331953, 0.00017616789037031312, 2356988000000, 
-0.09977791277098974, -0.0262565388699968, -2.4368904098113247e-05, 2356993000000, 
-0.08194532289818292, 0.014897465219612842, -9.9819730381713e-05, 2356998000000, 
-0.05117738092997303, -0.033542490653548133, 0.00013398043429216225, 2357003000000, 
-0.04719359684199233, 0.02154355994216751, -0.0001981174840385808, 2357008000000, 
-0.05935207272932881, -0.004294291914363903, -0.0004564475690213841, 2357013000000, 
-0.06010807088304576, -0.003198588150220445, -0.00023470239282712092, 2357018000000, 
-0.07586196679293497, -0.009577585976361568, -0.00012796865429432183, 2357023000000, 
-0.04584035765027241, 0.02147432217184783, 0.00012509834439397373, 2357028000000, 
-0.06885114185669915, 0.006349959029891858, 0.00019762713797398098, 2357033000000, 
-0.04362296227923187, 0.020961577264581283, 0.00021275928228486852, 2357038000000, 
-0.011725654111975722, 0.014669580207397538, -0.0001852228697115021, 2357043000000, 
-0.03529501377669342, -0.016741066793845714, -6.55555236497175e-05, 2357048000000, 
-0.02199932979217185, -0.010946961544994117, -0.000372301022406779, 2357053000000, 
-0.05526854998759817, -0.01073481235934162, 0.00012447419435530246, 2357058000000, 
-0.04284249842262576, 0.008905411182142197, 0.00015096893779156234, 2357063000000, 
-0.06307572115677375, -0.002036377073218709, -9.485742572353486e-06, 2357068000000, 
-0.03856957409783905, 0.008564823118516297, -0.0002745911717209616, 2357073000000, 
-0.09093849186045605, 0.01758239425377044, -0.00031788666517989074, 2357078000000, 
-0.03889954212671199, -0.012853849347918141, 5.24651646975961e-05, 2357083000000, 
-0.014741491452114945, -0.00998292760517343, 0.00026175782668591845, 2357088000000, 
-0.06601411962745936, 0.006276172041466877, 0.00020639864097378213, 2357093000000, 
-0.062128640862681196, -0.0029811139850070244, -0.0003862883150390625, 2357098000000, 
-0.07798272998908523, 0.0571519900877509, 3.385186298100719e-05, 2357103000000, 
-0.050662723310342626, 0.024087832667563994, 7.327410577718323e-05, 2357108000000, 
-0.04149639186786032, 0.00529105870253597, -0.00018583881054426944, 2357113000000, 
-0.046065281548969106, -0.021973006090905488, 0.00025040010834075224, 2357118000000, 
-0.06402018391821473, 0.008232568890594096, -0.00015955108318912572, 2357123000000, 
-0.054632206415269884, 0.008003874909866607, 0.00021870333139296648, 2357128000000, 
-0.06599036486520732, 0.02838064010702668, 0.00020145628959924053, 2357133000000, 
-0.04017135263721781, 0.016420676786835963, -0.0002246525383087052, 2357138000000, 
-0.06947450716408696, -0.009485824143769788, 7.722548366574344e-05, 2357143000000, 
-0.06274457282875137, 0.025370758350535948, 0.00015093361020431678, 2357148000000, 
-0.05849959708460186, 0.015767158864649623, 2.4345190582683808e-05, 2357153000000, 
-0.05369033785133413, -0.03151038072181577, -7.219273428648797e-05, 2357158000000, 
-0.04417746596515727, -0.0053035298827322705, 0.0001188161440294515, 2357163000000, 
-0.0786507897583985, 0.015135866589085983, -0.00017938735450864464, 2357170000000, 
-0.06296879184099416, 0.026109260635303055, 5.848872422724067e-05, 2357179000000, 
-0.04524897268511317, -0.001538304101492426, -0.0002110775144517531, 2357185000000, 
-0.07566373949688414, -0.01391142341829708, -0.0003494550383316346, 2357190000000, 
-0.07158806022247091, 0.006163685728762034, -0.00013432281870309675, 2357196000000, 
-0.050157936644283946, 0.004389345984342391, 0.00012453723894151122, 2357201000000, 
-0.04470878350798781, -0.004935340473143598, 0.000168263125391683, 2357208000000, 
-0.05888606497151692, -0.0011721816230065075, 0.00024150918004606182, 2357213000000, 
-0.05312920788233009, 0.0015748932725406003, 0.0003423437346335648, 2357218000000, 
-0.05815946358345093, -0.009752095896385721, -0.0001778606400910601, 2357224000000, 
-0.04705058659087968, -0.006951105084919849, -0.00033449049400076, 2357229000000, 
-0.06793447787488534, 0.021409217339140873, 0.00021711861132963842, 2357234000000, 
-0.05168214462233398, 0.028614734119720833, 9.65489934820093e-05, 2357239000000, 
-0.03914443564048066, -0.0065877352682392545, -2.889643208228209e-05, 2357244000000, 
5.587739268355405, -0.027528674155383227, 9.09573540284044e-05, 2357250000000, 
-0.1486523157612748, -0.0014660960042472589, 0.00016907112931782866, 2357255000000, 
-0.12517394422572214, 0.006356770745200011, 0.0003679908188732908, 2357260000000, 
-0.08372386143423177, -0.018794668629682112, -4.414236073695634e-05, 2357265000000, 
-0.024034821393543904, -0.0019041323355165388, 0.00013452468984573285, 2357270000000, 
0.164459658178844, 0.04727592628449161, 6.319250354821006e-05, 2357275000000, 
-0.2830030531350199, 0.005818472900215182, 5.943982224237412e-05, 2357280000000, 
7.026691964248939, -0.010731198738017745, 0.0002637574965673655, 2357285000000, 
-0.18096776621382205, 0.002703079195494347, 5.7488269810674104e-05, 2357290000000, 
-0.10923904265875986, -0.032596918767998084, 0.00026853469514357537, 2357295000000, 
-0.08441517141137464, 0.01737202334900685, 7.814103503384347e-06, 2357300000000, 
-0.060891093475613514, -0.016975674689295908, 0.00023131952020410252, 2357305000000, 
-0.02531896490651612, 0.034000517970378875, -9.71910904745292e-05, 2357310000000, 
-0.05873300421529109, 0.0006943645870189793, 0.00020478887974231298, 2357315000000, 
6.896995220807149, 0.018326964389248815, -0.00010444355383335037, 2357320000000, 
-0.16940601366310662, 0.0015054265554668674, -5.424116461975847e-06, 2357325000000, 
-0.07203683988511425, 0.021520086908713463, -7.143647297897944e-05, 2357331000000, 
-0.07348229568417604, 0.02101017406041194, -0.00019672918445654727, 2357336000000, 
-0.029886402109707923, 0.02550337550912349, -0.00041730238825857, 2357341000000, 
-0.030694157607493736, -0.029797296599445886, 0.0002239885318650243, 2357346000000, 
6.734689908274604, -0.012862453603818068, -5.0849472015297644e-05, 2357351000000, 
0.03155516993944259, -0.023954750342681692, -0.0004060759148910884, 2357356000000, 
-0.1048476019359201, 0.007647497908810337, 6.626555369186623e-05, 2357361000000, 
