x, y, th, stamp, 
-1.8915890601741767, -0.5003859058029365, -0.01276879199972979, 29988000000, 
-1.8915890609524992, -0.5003859058626074, -0.012768791105497553, 30022000000, 
-1.8915890531221415, -0.500385906009257, -0.012768790144166486, 30056000000, 
-1.8904348014476708, -0.5004006182550614, -0.0127679069235473, 30090000000, 
-1.888125048714071, -0.5004301295532346, -0.012767788063584803, 30124000000, 
-1.8846599844542629, -0.5004743587420419, -0.012768765958735787, 30158000000, 
-1.8811262668899822, -0.5005194945339996, -0.012768613586516327, 30192000000, 
-1.8775242301552462, -0.5005654967511753, -0.01276736473824294, 30226000000, 
-1.8739218062641834, -0.5006114991373566, -0.012767122320445481, 30260000000, 
-1.870251067570746, -0.5006583710186532, -0.012767276918727359, 30294000000, 
-1.866579948914261, -0.5007052479624307, -0.01276688902821338, 30328000000, 
-1.8628405205030236, -0.5007529940805064, -0.012766425965625543, 30362000000, 
-1.8591007186259534, -0.5008007426763237, -0.01276636062223539, 30396000000, 
-1.8552926113749773, -0.5008493627091044, -0.012766231280146943, 30430000000, 
-1.851416195920868, -0.5008988559652647, -0.012766004637240733, 30464000000, 
-1.8475394124665387, -0.5009483556899135, -0.012765805116524954, 30498000000, 
-1.8435943285084417, -0.5009987279859688, -0.012765620096034862, 30532000000, 
-1.8396488818216883, -0.5010491073382991, -0.012765467260232661, 30566000000, 
-1.8356351388212864, -0.5011003595588075, -0.012765262423395922, 30600000000, 
-1.8316210336369696, -0.5011516092536404, -0.012765307099381026, 30634000000, 
-1.8276070524855015, -0.5012028781937142, -0.01276556413437796, 30668000000, 
-1.8235254385029263, -0.5012550008179626, -0.012765642679942457, 30702000000, 
-1.8194444726405692, -0.5013071253858907, -0.012765655259431798, 30736000000, 
-1.815296093781664, -0.5013601084936116, -0.012765658533210607, 30770000000, 
-1.8111484029702247, -0.5014130840875595, -0.012765647997591834, 30804000000, 
-1.8069335445562713, -0.5014669172239175, -0.012765486584348121, 30838000000, 
-1.8027194173995995, -0.5015207405419997, -0.012765319826466679, 30872000000, 
-1.7984376260489674, -0.5015754220524122, -0.012765105482584315, 30906000000, 
-1.7941559120941997, -0.5016301147655089, -0.012764817442261413, 30940000000, 
-1.789806197007342, -0.5016856633111342, -0.012764535094015768, 30974000000, 
-1.7854561247861032, -0.5017412062829333, -0.012764223169142629, 31008000000, 
-1.7810377251859315, -0.5017976362055173, -0.012764181389720458, 31042000000, 
-1.776618975606127, -0.5018540778017131, -0.012764110396187954, 31076000000, 
-1.7721998922904048, -0.5019105243560015, -0.012763722022666301, 31110000000, 
